Protein_ID	Swiss-Prot_Hit	SP_E-value	Swiss-Prot_Description	Trembl_Hit	TB_E-value	Trembl_Description	NCBI_hit	nr_E-value	NCBI_Description	GO_Swiss-Prot	GO_Trembl
evm.model.Ap12.2535	sp|Q7ZWN0|LMF2_XENLA	1.65e-73	Lipase maturation factor 2 OS=Xenopus laevis GN=lmf2 PE=2 SV=1	tr|A0A2B4S7Y5|A0A2B4S7Y5_STYPI	0	Lipase maturation factor 2 OS=Stylophora pistillata GN=LMF2 PE=4 SV=1	ref|XP_020620646.1|	0	lipase maturation factor 2-like isoform X5 [Orbicella faveolata]	GO:0005789; GO:0016021	GO:0005789; GO:0016021
evm.model.Ap12.2534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap12.2533	sp|Q28GV1|CNDH2_XENTR	1.42e-125	Condensin-2 complex subunit H2 OS=Xenopus tropicalis GN=ncaph2 PE=2 SV=1	tr|A0A2B4S9M6|A0A2B4S9M6_STYPI	0	Condensin-2 complex subunit H2 OS=Stylophora pistillata GN=ncaph2 PE=4 SV=1	gb|PFX25500.1|	0	condensin-2 complex subunit H2-like isoform X2 [Stylophora pistillata]	GO:0005634; GO:0030261	GO:0030261
evm.model.Ap12.2532	sp|Q8WUH6|TM263_HUMAN	1.32e-10	Transmembrane protein 263 OS=Homo sapiens GN=TMEM263 PE=1 SV=1	tr|A0A2B4S8S8|A0A2B4S8S8_STYPI	6.13e-38	Transmembrane protein 263 OS=Stylophora pistillata GN=Tmem263 PE=4 SV=1	ref|XP_020620598.1|	5.62e-44	transmembrane protein 263-like [Orbicella faveolata]	GO:0016021	GO:0016021
evm.model.Ap12.2531	sp|Q962R9|RS10_SPOFR	7.52e-63	40S ribosomal protein S10 OS=Spodoptera frugiperda GN=RpS10 PE=2 SV=1	tr|A0A2B4SAA1|A0A2B4SAA1_STYPI	0	40S ribosomal protein S10 OS=Stylophora pistillata GN=RpS10 PE=4 SV=1	gb|PFX25498.1|	0	40S ribosomal protein S10 [Stylophora pistillata]	GO:0005840	GO:0005840
evm.model.Ap12.2530	NA	NA	NA	tr|A0A2B4SVU1|A0A2B4SVU1_STYPI	9.5e-48	Zinc finger protein 143 OS=Stylophora pistillata GN=ZNF143 PE=4 SV=1	ref|XP_020605738.1|	2.39e-50	zinc finger protein 236-like [Orbicella faveolata]	NA	GO:0003676
evm.model.Ap12.375	NA	NA	NA	tr|A0A2B4S339|A0A2B4S339_STYPI	9.87e-86	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene12279 PE=4 SV=1	ref|XP_020613198.1|	3.35e-99	uncharacterized protein LOC110051512 [Orbicella faveolata]	NA	
evm.model.Ap12.2278	NA	NA	NA	tr|A0A2B4R3S4|A0A2B4R3S4_STYPI	1.66e-67	Uncharacterized protein (Fragment) OS=Stylophora pistillata GN=AWC38_SpisGene25530 PE=4 SV=1	ref|XP_022778787.1|	2.34e-67	uncharacterized protein LOC111320379 [Stylophora pistillata]	NA	
evm.model.Ap12.2279	NA	NA	NA	tr|A0A2B4R3S4|A0A2B4R3S4_STYPI	1.5e-84	Uncharacterized protein (Fragment) OS=Stylophora pistillata GN=AWC38_SpisGene25530 PE=4 SV=1	gb|PFX11047.1|	2.33e-84	hypothetical protein AWC38_SpisGene25530, partial [Stylophora pistillata]	NA	
evm.model.Ap12.2270	sp|B5X4E0|CALUB_SALSA	7.89e-121	Calumenin-B OS=Salmo salar GN=calub PE=2 SV=1	tr|A7SUH8|A7SUH8_NEMVE	1.63e-148	Predicted protein OS=Nematostella vectensis GN=v1g174458 PE=4 SV=1	ref|XP_020617272.1|	0	calumenin-B-like [Orbicella faveolata]	GO:0005789; GO:0005576; GO:0005794; GO:0042470; GO:0033018; GO:0005509	GO:0005509
evm.model.Ap12.2271	sp|Q9D2E1|TSSK3_MOUSE	2.42e-91	Testis-specific serine/threonine-protein kinase 3 OS=Mus musculus GN=Tssk3 PE=2 SV=1	tr|A7SGS0|A7SGS0_NEMVE	6.47e-121	Predicted protein OS=Nematostella vectensis GN=v1g212052 PE=3 SV=1	ref|XP_020617262.1|	0	testis-specific serine/threonine-protein kinase 3-like [Orbicella faveolata]	GO:0005737; GO:0005634; GO:0005524; GO:0000287; GO:0004674; GO:0035556; GO:0007275; GO:0006468; GO:0048240; GO:0007283	GO:0005737; GO:0005634; GO:0005524; GO:0004674; GO:0035556; GO:0043066; GO:0006468
evm.model.Ap12.2272	sp|P59672|ANS1A_MOUSE	1.25e-71	Ankyrin repeat and SAM domain-containing protein 1A OS=Mus musculus GN=Anks1a PE=1 SV=3	tr|A0A2B4SUG9|A0A2B4SUG9_STYPI	0	Ankyrin repeat and sterile alpha motif domain-containing protein 1B OS=Stylophora pistillata GN=ANKS1B PE=4 SV=1	gb|PFX32045.1|	0	ankyrin repeat and SAM domain-containing protein 1A-like isoform X1 [Stylophora pistillata]	GO:0005829; GO:0043005; GO:0005654; GO:0046875; GO:0048013; GO:2000059; GO:0016322; GO:1901187; GO:0006929	
evm.model.Ap12.2273	sp|Q6UJY2|SL9C1_MOUSE	2.24e-142	Sodium/hydrogen exchanger 10 OS=Mus musculus GN=Slc9c1 PE=1 SV=3	tr|A0A2B4SMX8|A0A2B4SMX8_STYPI	0	Sodium/hydrogen exchanger 10 OS=Stylophora pistillata GN=Slc9c1 PE=4 SV=1	ref|XP_022780041.1|	0	sodium/hydrogen exchanger 10-like [Stylophora pistillata]	GO:0060170; GO:0016021; GO:0031514; GO:0005886; GO:0015386; GO:0015385; GO:0030154; GO:0030317; GO:0007275; GO:0071805; GO:0051453; GO:0098719; GO:0007283	GO:0016021; GO:0005216; GO:0015299
evm.model.Ap12.2274	NA	NA	NA	tr|A0A2B4SMX8|A0A2B4SMX8_STYPI	4.2e-58	Sodium/hydrogen exchanger 10 OS=Stylophora pistillata GN=Slc9c1 PE=4 SV=1	ref|XP_020617298.1|	2.17e-105	uncharacterized protein LOC110055254 isoform X1 [Orbicella faveolata]	NA	GO:0016021; GO:0005216; GO:0015299
evm.model.Ap12.2275	sp|P24044|CALM_PLAFA	1.96e-44	Calmodulin OS=Plasmodium falciparum PE=3 SV=4	tr|A0A2B4SSH1|A0A2B4SSH1_STYPI	5.12e-115	Calmodulin OS=Stylophora pistillata GN=4 PE=4 SV=1	ref|XP_020617300.1|	6.94e-119	calmodulin-A-like [Orbicella faveolata]	GO:0005509	GO:0005509
evm.model.Ap12.2276	NA	NA	NA	tr|A0A0X3Q8A9|A0A0X3Q8A9_SCHSO	4.69e-16	Reverse transcriptase (RNA-dependent DNA polymerase) (Fragment) OS=Schistocephalus solidus GN=TR88722 PE=4 SV=1	ref|XP_020907319.1|	6.1e-36	uncharacterized protein LOC110245382 [Exaiptasia pallida]	NA	GO:0003964
evm.model.Ap12.2277	NA	NA	NA	tr|A0A2B4R3S4|A0A2B4R3S4_STYPI	1.19e-43	Uncharacterized protein (Fragment) OS=Stylophora pistillata GN=AWC38_SpisGene25530 PE=4 SV=1	gb|PFX11047.1|	1.84e-43	hypothetical protein AWC38_SpisGene25530, partial [Stylophora pistillata]	NA	
evm.model.Ap12.1741	NA	NA	NA	tr|A0A2B4S000|A0A2B4S000_STYPI	5.1e-14	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene13681 PE=4 SV=1	ref|XP_020632846.1|	1.29e-17	uncharacterized protein LOC110069656 [Orbicella faveolata]	NA	
evm.model.Ap12.1740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap12.1743	sp|B3EWY8|SAAR2_ACRMI	9.21e-71	Skeletal aspartic acid-rich protein 2 (Fragment) OS=Acropora millepora PE=1 SV=1	tr|A0A2B4SRX6|A0A2B4SRX6_STYPI	8.5e-77	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene3547 PE=4 SV=1	ref|XP_020600890.1|	5.26e-84	skeletal aspartic acid-rich protein 2-like isoform X1 [Orbicella faveolata]	GO:0016021	GO:0016021
evm.model.Ap12.849	NA	NA	NA	tr|A0A2B4RNW0|A0A2B4RNW0_STYPI	1.41e-48	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene17711 PE=4 SV=1	ref|XP_015769862.1|	8.46e-55	PREDICTED: uncharacterized protein LOC107348350 [Acropora digitifera]	NA	
evm.model.Ap12.1742	NA	NA	NA	tr|A0A2B4SSN1|A0A2B4SSN1_STYPI	1.95e-38	Twinkle protein, mitochondrial OS=Stylophora pistillata GN=PEO1 PE=4 SV=1	ref|XP_020600861.1|	8.72e-84	twinkle protein, mitochondrial-like [Orbicella faveolata]	NA	GO:0005524; GO:0003677; GO:0003678; GO:0008270; GO:0006260
evm.model.Ap12.1747	NA	NA	NA	tr|A0A2B4RY05|A0A2B4RY05_STYPI	2.79e-31	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene14301 PE=4 SV=1	ref|XP_020602920.1|	7.54e-42	uncharacterized protein LOC110041940 [Orbicella faveolata]	NA	
evm.model.Ap12.1746	NA	NA	NA	tr|A0A2B4RC51|A0A2B4RC51_STYPI	1.3e-75	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene21774 PE=4 SV=1	ref|XP_020608013.1|	5.34e-131	uncharacterized protein LOC110046659 [Orbicella faveolata]	NA	
evm.model.Ap12.841	sp|Q2TBT5|RNH2A_BOVIN	1.16e-114	Ribonuclease H2 subunit A OS=Bos taurus GN=RNASEH2A PE=1 SV=1	tr|A0A2B4S2A6|A0A2B4S2A6_STYPI	0	Ribonuclease H2 subunit A OS=Stylophora pistillata GN=RNASEH2A PE=4 SV=1	ref|XP_020627907.1|	0	ribonuclease H2 subunit A-like [Orbicella faveolata]	GO:0005829; GO:0005654; GO:0032299; GO:0046872; GO:0003723; GO:0004523; GO:0043137; GO:0006298; GO:0006401	GO:0003723; GO:0004523
evm.model.Ap12.929	sp|P0CI65|NPHP3_DANRE	2.32e-36	Nephrocystin-3 OS=Danio rerio GN=nphp3 PE=3 SV=1	tr|A0A2B4S8C3|A0A2B4S8C3_STYPI	0	Nephrocystin-3 OS=Stylophora pistillata GN=nphp3 PE=4 SV=1	ref|XP_020619788.1|	0	uncharacterized protein LOC110057535 [Orbicella faveolata]	GO:0005929; GO:0060271; GO:0060026; GO:0003146; GO:0070121; GO:0060972; GO:0048793; GO:0007601; GO:0016055	
evm.model.Ap12.844	sp|P30162|ACT1_ONCVO	1.74e-29	Actin-1 OS=Onchocerca volvulus GN=act-1a PE=3 SV=1	tr|A0A0P5F7W0|A0A0P5F7W0_9CRUS	1.73e-30	Putative Actin, alpha skeletal muscle (Fragment) OS=Daphnia magna PE=3 SV=1	gb|AJW66324.1|	2.81e-29	actin, partial [Umbelopsis longicollis]	GO:0005737; GO:0005856; GO:0005524	
evm.model.Ap12.845	sp|P41112|ACT1_PODCA	1.49e-70	Actin-1/2 OS=Podocoryna carnea GN=ACTIA PE=2 SV=1	tr|A0A0R3PJD8|A0A0R3PJD8_ANGCS	1.49e-69	Uncharacterized protein OS=Angiostrongylus costaricensis PE=3 SV=1	ref|XP_015762522.1|	1.97e-69	PREDICTED: actin [Acropora digitifera]	GO:0005737; GO:0005856; GO:0005524	GO:0005524
evm.model.Ap12.846	sp|Q5UQ60|YL662_MIMIV	8.2e-21	Uncharacterized protein L662 OS=Acanthamoeba polyphaga mimivirus GN=MIMI_L662 PE=4 SV=1	tr|A0A2B4SDT2|A0A2B4SDT2_STYPI	3.1e-148	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene7753 PE=4 SV=1	ref|XP_020606857.1|	1.21e-177	uncharacterized protein LOC110045599 [Orbicella faveolata]		
evm.model.Ap12.847	sp|P12716|ACTC_PISOC	1.24e-172	Actin, cytoplasmic OS=Pisaster ochraceus PE=3 SV=1	tr|A0A194AP19|A0A194AP19_PINFU	2.71e-172	Putative actin, cytoplasmic OS=Pinctada fucata PE=3 SV=1	ref|XP_020600465.1|	8e-173	actin, cytoplasmic-like [Orbicella faveolata]	GO:0005737; GO:0005856; GO:0005524	GO:0005524
evm.model.Ap12.842	NA	NA	NA	tr|A0A2B4S0L6|A0A2B4S0L6_STYPI	5.29e-66	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene12870 PE=4 SV=1	ref|XP_020627905.1|	0	uncharacterized protein LOC110065142 isoform X1 [Orbicella faveolata]	NA	
evm.model.Ap12.843	sp|P12716|ACTC_PISOC	0	Actin, cytoplasmic OS=Pisaster ochraceus PE=3 SV=1	tr|A0A2B4S283|A0A2B4S283_STYPI	0	Actin, cytoplasmic OS=Stylophora pistillata GN=AWC38_SpisGene12876 PE=4 SV=1	ref|XP_015753791.1|	0	PREDICTED: actin, cytoplasmic [Acropora digitifera]	GO:0005737; GO:0005856; GO:0005524	GO:0005524
evm.model.Ap12.925	sp|A0JM23|NPHP3_XENTR	1.45e-31	Nephrocystin-3 OS=Xenopus tropicalis GN=nphp3 PE=2 SV=2	tr|A0A2B4S8C3|A0A2B4S8C3_STYPI	0	Nephrocystin-3 OS=Stylophora pistillata GN=nphp3 PE=4 SV=1	gb|PFX26914.1|	0	Nephrocystin-3 [Stylophora pistillata]	GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055	
evm.model.Ap12.1899	NA	NA	NA	tr|A0A2B4R8P4|A0A2B4R8P4_STYPI	3.92e-08	Protein sidekick-2 OS=Stylophora pistillata GN=SDK2 PE=4 SV=1	ref|XP_015775652.1|	7.58e-10	PREDICTED: uncharacterized protein LOC107353779 [Acropora digitifera]	NA	GO:0016021; GO:0005524; GO:0003676
evm.model.Ap12.1898	NA	NA	NA	tr|A0A2B4SUA9|A0A2B4SUA9_STYPI	5.74e-13	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene2694 PE=4 SV=1	ref|XP_020629620.1|	2.68e-29	uncharacterized protein LOC110066719 [Orbicella faveolata]	NA	
evm.model.Ap12.1169	sp|A7RKS5|RSSA_NEMVE	2.1e-143	40S ribosomal protein SA OS=Nematostella vectensis GN=v1g198553 PE=3 SV=1	tr|A0A2B4RJH4|A0A2B4RJH4_STYPI	3.64e-156	40S ribosomal protein SA OS=Stylophora pistillata GN=AWC38_SpisGene17886 PE=4 SV=1	gb|PFX17771.1|	5.64e-156	40S ribosomal protein SA-like [Stylophora pistillata]	GO:0030686; GO:0022627; GO:0003735; GO:0000447; GO:0000461; GO:0000028; GO:0006407; GO:0006412	GO:0022627; GO:0003735; GO:0000028; GO:0006412
evm.model.Ap12.1169.2.5f15e444	sp|A7RKS5|RSSA_NEMVE	4.6e-139	40S ribosomal protein SA OS=Nematostella vectensis GN=v1g198553 PE=3 SV=1	tr|A0A2B4RJH4|A0A2B4RJH4_STYPI	5.85e-145	40S ribosomal protein SA OS=Stylophora pistillata GN=AWC38_SpisGene17886 PE=4 SV=1	ref|XP_015778504.1|	3.22e-149	PREDICTED: 40S ribosomal protein SA-like [Acropora digitifera]	GO:0030686; GO:0022627; GO:0003735; GO:0000447; GO:0000461; GO:0000028; GO:0006407; GO:0006412	GO:0022627; GO:0003735; GO:0000028; GO:0006412
evm.model.Ap12.1169.1.5f15e444	sp|A7RKS5|RSSA_NEMVE	9.49e-145	40S ribosomal protein SA OS=Nematostella vectensis GN=v1g198553 PE=3 SV=1	tr|A0A2B4RJH4|A0A2B4RJH4_STYPI	1.94e-157	40S ribosomal protein SA OS=Stylophora pistillata GN=AWC38_SpisGene17886 PE=4 SV=1	gb|PFX17771.1|	3.01e-157	40S ribosomal protein SA-like [Stylophora pistillata]	GO:0030686; GO:0022627; GO:0003735; GO:0000447; GO:0000461; GO:0000028; GO:0006407; GO:0006412	GO:0022627; GO:0003735; GO:0000028; GO:0006412
evm.model.Ap12.2700	NA	NA	NA	tr|A0A2B4RS94|A0A2B4RS94_STYPI	7.27e-07	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene16475 PE=4 SV=1	ref|XP_020625222.1|	1.04e-16	uncharacterized protein LOC110062622 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap12.2701	NA	NA	NA	tr|A0A2B4RPL4|A0A2B4RPL4_STYPI	2.01e-17	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene16474 PE=4 SV=1	ref|XP_020625222.1|	4.61e-78	uncharacterized protein LOC110062622 [Orbicella faveolata]	NA	GO:0016021; GO:0006811
evm.model.Ap12.2702	NA	NA	NA	tr|A0A2B4RS94|A0A2B4RS94_STYPI	9.75e-14	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene16475 PE=4 SV=1	ref|XP_020625222.1|	3.54e-62	uncharacterized protein LOC110062622 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap12.2703	NA	NA	NA	tr|A0A2B4RS19|A0A2B4RS19_STYPI	2.62e-85	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene16476 PE=4 SV=1	ref|XP_020625175.1|	6.16e-114	uncharacterized protein LOC110062589 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap12.2704	NA	NA	NA	tr|A0A2B4RRZ3|A0A2B4RRZ3_STYPI	2.01e-13	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene16477 PE=4 SV=1	ref|XP_020625176.1|	4.52e-122	uncharacterized protein LOC110062591 [Orbicella faveolata]	NA	
evm.model.Ap12.2705	NA	NA	NA	NA	NA	NA	ref|XP_020625220.1|	2.71e-87	uncharacterized protein LOC110062621 [Orbicella faveolata]	NA	NA
evm.model.Ap12.2706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap12.2707	NA	NA	NA	tr|A0A2B4RQQ7|A0A2B4RQQ7_STYPI	3.98e-15	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene16479 PE=4 SV=1	gb|PFX19129.1|	6.17e-15	hypothetical protein AWC38_SpisGene16479 [Stylophora pistillata]	NA	
evm.model.Ap12.2708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap12.2709	NA	NA	NA	tr|A0A2B4RS10|A0A2B4RS10_STYPI	1.4e-79	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene16480 PE=4 SV=1	ref|XP_020625209.1|	2.09e-131	uncharacterized protein LOC110062609 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap12.1608	NA	NA	NA	tr|A0A2B4RKB2|A0A2B4RKB2_STYPI	8.49e-12	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene18773 PE=4 SV=1	gb|KXJ10335.1|	5.73e-12	Tetratricopeptide repeat protein 28 [Exaiptasia pallida]	NA	
evm.model.Ap12.1609	sp|A7SMR1|EIF3D_NEMVE	7.77e-21	Eukaryotic translation initiation factor 3 subunit D OS=Nematostella vectensis GN=v1g235689 PE=3 SV=1	tr|A0A2B4SS12|A0A2B4SS12_STYPI	3.22e-22	Eukaryotic translation initiation factor 3 subunit D OS=Stylophora pistillata GN=AWC38_SpisGene2500 PE=4 SV=1	ref|XP_020609191.1|	1.86e-22	eukaryotic translation initiation factor 3 subunit D-like [Orbicella faveolata]	GO:0005852; GO:0003743	GO:0005852; GO:0003743
evm.model.Ap12.1604	NA	NA	NA	tr|A0A2B4R7X0|A0A2B4R7X0_STYPI	5.51e-38	Uncharacterized protein K02A2.6 OS=Stylophora pistillata GN=K02A2.6 PE=4 SV=1	ref|XP_020605516.1|	2.96e-51	uncharacterized protein LOC110044322 [Orbicella faveolata]	NA	
evm.model.Ap12.1600	NA	NA	NA	tr|A0A2B4R801|A0A2B4R801_STYPI	6.03e-30	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene23539 PE=4 SV=1	gb|PFX12498.1|	9.34e-30	hypothetical protein AWC38_SpisGene23539 [Stylophora pistillata]	NA	
evm.model.Ap12.1601	sp|A7SMR1|EIF3D_NEMVE	2.31e-18	Eukaryotic translation initiation factor 3 subunit D OS=Nematostella vectensis GN=v1g235689 PE=3 SV=1	tr|A0A2B4RBA6|A0A2B4RBA6_STYPI	1.32e-98	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene21420 PE=4 SV=1	ref|XP_020628375.1|	1.69e-165	uncharacterized protein LOC110065572 [Orbicella faveolata]	GO:0005852; GO:0003743	
evm.model.Ap12.1602	NA	NA	NA	tr|A0A2B4T0H4|A0A2B4T0H4_STYPI	1.45e-30	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene455 PE=4 SV=1	gb|PFX34640.1|	2.25e-30	hypothetical protein AWC38_SpisGene455 [Stylophora pistillata]	NA	
evm.model.Ap12.259	NA	NA	NA	tr|A0A2B4SJK8|A0A2B4SJK8_STYPI	7.08e-98	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5726 PE=4 SV=1	ref|XP_020626623.1|	1.42e-154	uncharacterized protein LOC110063966 isoform X1 [Orbicella faveolata]	NA	
evm.model.Ap12.258	sp|O88854|GALR2_MOUSE	5.76e-13	Galanin receptor type 2 OS=Mus musculus GN=Galr2 PE=2 SV=2	tr|A0A2B4SM19|A0A2B4SM19_STYPI	7.28e-63	Pyroglutamylated RFamide peptide receptor OS=Stylophora pistillata GN=QRFPR PE=4 SV=1	ref|XP_020626504.1|	1.49e-85	galanin receptor type 1-like [Orbicella faveolata]	GO:0005887; GO:0005622; GO:0004966; GO:0042923; GO:0017046; GO:0007189; GO:0007188; GO:0043647; GO:0007194; GO:0031175; GO:0046488; GO:0007200; GO:0007204; GO:1902608; GO:0045944	GO:0016021; GO:0004930
evm.model.Ap12.251	sp|Q32M45|ANO4_HUMAN	0	Anoctamin-4 OS=Homo sapiens GN=ANO4 PE=2 SV=1	tr|A0A2B4SI10|A0A2B4SI10_STYPI	0	Anoctamin-4 OS=Stylophora pistillata GN=Ano4 PE=4 SV=1	ref|XP_020626621.1|	0	anoctamin-3-like isoform X2 [Orbicella faveolata]	GO:0016021; GO:0005622; GO:0005886; GO:0005229; GO:0017128; GO:0046983; GO:0061591; GO:0061590; GO:0061589; GO:0006821; GO:0034220	GO:0016021; GO:0046983
evm.model.Ap12.250	sp|Q8CFW1|ANO2_MOUSE	3.63e-49	Anoctamin-2 OS=Mus musculus GN=Ano2 PE=1 SV=2	tr|A0A2B4SI10|A0A2B4SI10_STYPI	4.88e-93	Anoctamin-4 OS=Stylophora pistillata GN=Ano4 PE=4 SV=1	gb|PFX29511.1|	7.56e-93	anoctamin-4-like isoform X2 [Stylophora pistillata]	GO:0034707; GO:0097730; GO:0005654; GO:0005886; GO:0005229; GO:0046982; GO:0042803; GO:0006821	GO:0016021; GO:0046983
evm.model.Ap12.253	sp|Q5XXA6|ANO1_HUMAN	0	Anoctamin-1 OS=Homo sapiens GN=ANO1 PE=1 SV=1	tr|A0A2B4SKA5|A0A2B4SKA5_STYPI	0	Anoctamin-4 OS=Stylophora pistillata GN=Ano4 PE=4 SV=1	ref|XP_020626599.1|	0	anoctamin-3-like [Orbicella faveolata]	GO:0016324; GO:0034707; GO:0005737; GO:0070062; GO:0005886; GO:0005227; GO:0005254; GO:0005229; GO:0015111; GO:0046983; GO:0005247; GO:0006812; GO:0034605; GO:1902476; GO:0006821; GO:0050965; GO:0015705; GO:0034220; GO:0007275; GO:0007200; GO:0035774	GO:0016021; GO:0046983
evm.model.Ap12.252	sp|Q8BHY3|ANO1_MOUSE	0	Anoctamin-1 OS=Mus musculus GN=Ano1 PE=1 SV=2	tr|A0A2B4SLY0|A0A2B4SLY0_STYPI	0	Anoctamin-4 OS=Stylophora pistillata GN=ANO4 PE=4 SV=1	ref|XP_020626575.1|	0	LOW QUALITY PROTEIN: anoctamin-4-like [Orbicella faveolata]	GO:0016324; GO:0034707; GO:0005737; GO:0009897; GO:0005886; GO:0005227; GO:0005254; GO:0005229; GO:0015111; GO:0046982; GO:0042803; GO:0005247; GO:0006812; GO:0034605; GO:1902476; GO:0006821; GO:0050965; GO:0015705; GO:0007200; GO:0035774; GO:0042391; GO:0060438	GO:0016021; GO:0046983
evm.model.Ap12.255	sp|Q5LG28|END4_BACFN	8.92e-108	Probable endonuclease 4 OS=Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / JCM 11019 / NCTC 9343) GN=nfo PE=3 SV=1	tr|A0A2B4SLS6|A0A2B4SLS6_STYPI	0	Putative endonuclease 4 OS=Stylophora pistillata GN=nfo PE=4 SV=1	ref|XP_020626529.1|	0	uncharacterized protein LOC110063875 [Orbicella faveolata]	GO:0008833; GO:0003677; GO:0008270; GO:0006281	GO:0003677; GO:0004519; GO:0008270; GO:0006281
evm.model.Ap12.254	sp|Q8C5H1|ANO4_MOUSE	0	Anoctamin-4 OS=Mus musculus GN=Ano4 PE=2 SV=2	tr|A0A2B4SKA9|A0A2B4SKA9_STYPI	0	Anoctamin-4 OS=Stylophora pistillata GN=ANO4 PE=4 SV=1	ref|XP_020626598.1|	0	anoctamin-4-like [Orbicella faveolata]	GO:0016021; GO:0005622; GO:0005886; GO:0017128; GO:0046983; GO:0061591; GO:0061590; GO:0061589; GO:0006821	GO:0016021; GO:0046983
evm.model.Ap12.257	sp|P47211|GALR1_HUMAN	4.68e-14	Galanin receptor type 1 OS=Homo sapiens GN=GALR1 PE=1 SV=3	tr|A0A2B4SM19|A0A2B4SM19_STYPI	2.38e-60	Pyroglutamylated RFamide peptide receptor OS=Stylophora pistillata GN=QRFPR PE=4 SV=1	ref|XP_020626504.1|	7.52e-84	galanin receptor type 1-like [Orbicella faveolata]	GO:0016021; GO:0005887; GO:0005622; GO:0005886; GO:0004966; GO:0042923; GO:0017046; GO:0007189; GO:0007586; GO:0007186; GO:0007194; GO:0007218; GO:0051464; GO:0007204; GO:0045944	GO:0016021; GO:0004930
evm.model.Ap12.256	sp|P58307|OX1R_MOUSE	5.58e-25	Orexin receptor type 1 OS=Mus musculus GN=Hcrtr1 PE=2 SV=3	tr|A0A2B4SM19|A0A2B4SM19_STYPI	1.52e-112	Pyroglutamylated RFamide peptide receptor OS=Stylophora pistillata GN=QRFPR PE=4 SV=1	ref|XP_020626504.1|	7.58e-171	galanin receptor type 1-like [Orbicella faveolata]	GO:0005887; GO:0016499; GO:0042277; GO:0017046; GO:0032870; GO:0007631; GO:0007218; GO:0070374; GO:0045187; GO:0051480; GO:1901652	GO:0016021; GO:0004930
evm.model.Ap12.1024	sp|Q6NWH5|TMM11_DANRE	3.54e-73	Transmembrane protein 11, mitochondrial OS=Danio rerio GN=tmem11 PE=2 SV=1	tr|A0A2B4SKH1|A0A2B4SKH1_STYPI	2.92e-103	Transmembrane protein 11, mitochondrial OS=Stylophora pistillata GN=tmem11 PE=4 SV=1	ref|XP_020604393.1|	1.38e-117	transmembrane protein 11, mitochondrial-like [Orbicella faveolata]	GO:0031305; GO:0007005	GO:0031305; GO:0007005
