"gene","GO_Description"
"evm.TU.Ap11.534","Cannabinoid receptor 1 OS=Xenopus laevis GN=cnr1 PE=2 SV=1"
"evm.TU.Ap11.535","Melanocortin receptor 4 OS=Bos taurus GN=MC4R PE=2 SV=1"
"evm.TU.Ap11.536","Melanocyte-stimulating hormone receptor OS=Chaetodipus baileyi GN=MC1R PE=3 SV=1"
"evm.TU.Ap11.537","Melanocyte-stimulating hormone receptor OS=Bos taurus GN=MC1R PE=2 SV=2"
"evm.TU.Ap11.530","Cannabinoid receptor 1 OS=Xenopus laevis GN=cnr1 PE=2 SV=1"
"evm.TU.Ap11.531","Melanocyte-stimulating hormone receptor OS=Semnopithecus entellus GN=MC1R PE=3 SV=1"
"evm.TU.Ap11.532","Melanocortin receptor 4 OS=Danio rerio GN=mc4r PE=1 SV=1"
"evm.TU.Ap11.533","Beta-4C adrenergic receptor OS=Meleagris gallopavo GN=ADRB4C PE=2 SV=1"
"evm.TU.Ap11.538","Cannabinoid receptor type 1B OS=Takifugu rubripes GN=cnr1b PE=3 SV=1"
"evm.TU.Ap11.539","Melanocyte-stimulating hormone receptor OS=Galago senegalensis GN=MC1R PE=3 SV=1"
"evm.TU.Ap11.1160","Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1"
"evm.TU.Ap11.1162","Serine/threonine-protein kinase PAK mbt OS=Drosophila melanogaster GN=mbt PE=1 SV=2"
"evm.TU.Ap11.1165",NA
"evm.TU.Ap11.1164","Nephrocystin-3 OS=Danio rerio GN=nphp3 PE=3 SV=1"
"evm.TU.Ap11.1167",NA
"evm.TU.Ap11.1572","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap11.1573",NA
"evm.TU.Ap11.1570",NA
"evm.TU.Ap11.1571","LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1"
"evm.TU.Ap11.1576","Rap1 GTPase-GDP dissociation stimulator 1-B OS=Xenopus laevis GN=rap1gds1-b PE=2 SV=1"
"evm.TU.Ap11.1577",NA
"evm.TU.Ap11.1574",NA
"evm.TU.Ap11.1575",NA
"evm.TU.Ap11.1578","Major royal jelly protein 5 OS=Apis mellifera GN=MRJP5 PE=2 SV=1"
"evm.TU.Ap11.1579","Putative hydrolase RBBP9 OS=Homo sapiens GN=RBBP9 PE=1 SV=2"
"evm.TU.Ap11.1039",NA
"evm.TU.Ap11.1038",NA
"evm.TU.Ap11.776","Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus GN=Fkbp2 PE=1 SV=1"
"evm.TU.Ap11.777","Superoxide dismutase [Fe] OS=Enterococcus faecalis (strain ATCC 700802 / V583) GN=sodA PE=3 SV=1"
"evm.TU.Ap11.775","Pleckstrin homology domain-containing family A member 8 OS=Danio rerio GN=plekha8 PE=2 SV=1"
"evm.TU.Ap11.772","Alpha-1A adrenergic receptor OS=Rattus norvegicus GN=Adra1a PE=2 SV=1"
"evm.TU.Ap11.773",NA
"evm.TU.Ap11.770",NA
"evm.TU.Ap11.771",NA
"evm.TU.Ap11.141",NA
"evm.TU.Ap11.143","E3 ubiquitin-protein ligase DZIP3 OS=Mus musculus GN=Dzip3 PE=1 SV=2"
"evm.TU.Ap11.142",NA
"evm.TU.Ap11.145","Gag-Pol polyprotein (Fragment) OS=Avian reticuloendotheliosis virus GN=pol PE=1 SV=2"
"evm.TU.Ap11.144","Retrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster GN=pol PE=3 SV=1"
"evm.TU.Ap11.147","Polyubiquitin-C OS=Homo sapiens GN=UBC PE=1 SV=3"
"evm.TU.Ap11.146",NA
"evm.TU.Ap11.149",NA
"evm.TU.Ap11.496","Cancer-related nucleoside-triphosphatase homolog OS=Mus musculus GN=Ntpcr PE=1 SV=1"
"evm.TU.Ap11.804",NA
"evm.TU.Ap11.805","AP-4 complex subunit mu OS=Arabidopsis thaliana GN=AP4M PE=2 SV=1"
"evm.TU.Ap11.806","Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2"
"evm.TU.Ap11.807",NA
"evm.TU.Ap11.800",NA
"evm.TU.Ap11.801",NA
"evm.TU.Ap11.802","Zinc finger protein 180 OS=Homo sapiens GN=ZNF180 PE=1 SV=2"
"evm.TU.Ap11.803",NA
"evm.TU.Ap11.808","Thyrotropin receptor OS=Homo sapiens GN=TSHR PE=1 SV=2"
"evm.TU.Ap11.809",NA
"evm.TU.Ap10.1948","Translation machinery-associated protein 7 OS=Tetraodon nigroviridis GN=tma7 PE=3 SV=1"
"evm.TU.Ap10.1949",NA
"evm.TU.Ap10.1942","Store-operated calcium entry regulator STIMATE OS=Homo sapiens GN=STIMATE PE=1 SV=1"
"evm.TU.Ap10.1940",NA
"evm.TU.Ap10.1941",NA
"evm.TU.Ap10.1946","Gamma-tubulin complex component 6 OS=Mus musculus GN=Tubgcp6 PE=1 SV=1"
"evm.TU.Ap10.1947",NA
"evm.TU.Ap10.1944","Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4"
"evm.TU.Ap10.458",NA
"evm.TU.Ap10.459",NA
"evm.TU.Ap10.450",NA
"evm.TU.Ap10.451","Integrase/recombinase xerD homolog OS=Selenomonas ruminantium GN=xerD PE=3 SV=1"
"evm.TU.Ap10.452",NA
"evm.TU.Ap10.453",NA
"evm.TU.Ap10.454",NA
"evm.TU.Ap10.455",NA
"evm.TU.Ap10.456",NA
"evm.TU.Ap10.457",NA
"evm.TU.Ap10.1943","Homeobox protein Mix.2 OS=Xenopus laevis GN=mix-b PE=2 SV=1"
"evm.TU.Ap10.1945","Sortilin OS=Homo sapiens GN=SORT1 PE=1 SV=3"
"evm.TU.Ap10.1945.1.5f15df0d","Sortilin OS=Homo sapiens GN=SORT1 PE=1 SV=3"
"evm.TU.Ap10.861","Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1"
"evm.TU.Ap10.860","Beta-2 adrenergic receptor OS=Sus scrofa GN=ADRB2 PE=2 SV=2"
"evm.TU.Ap10.865",NA
"evm.TU.Ap10.864","Neuromedin-U receptor 2 OS=Mus musculus GN=Nmur2 PE=2 SV=1"
"evm.TU.Ap10.867",NA
"evm.TU.Ap10.866","Melanopsin-A OS=Danio rerio GN=opn4a PE=2 SV=3"
"evm.TU.Ap10.1094","Eukaryotic translation initiation factor 4E type 3-B OS=Xenopus laevis GN=eif4e3-b PE=2 SV=1"
"evm.TU.Ap10.1095","Protein AATF OS=Gallus gallus GN=AATF PE=2 SV=1"
"evm.TU.Ap10.1096","Putative beta-lactamase-like 1 OS=Homo sapiens GN=LACTBL1 PE=2 SV=2"
"evm.TU.Ap10.1097",NA
"evm.TU.Ap10.1090","Melanocyte-stimulating hormone receptor OS=Chaetodipus penicillatus GN=MC1R PE=3 SV=1"
"evm.TU.Ap10.1091","Melanocyte-stimulating hormone receptor OS=Mus musculus GN=Mc1r PE=2 SV=2"
"evm.TU.Ap10.1092",NA
"evm.TU.Ap10.1093","Melanocortin receptor 5 OS=Rattus norvegicus GN=Mc5r PE=2 SV=1"
"evm.TU.Ap10.1098","Putative beta-lactamase-like 1 OS=Homo sapiens GN=LACTBL1 PE=2 SV=2"
"evm.TU.Ap10.1099","Putative beta-lactamase-like 1 OS=Homo sapiens GN=LACTBL1 PE=2 SV=2"
"evm.TU.Ap10.1328",NA
"evm.TU.Ap10.1329","Melanocortin receptor 5 OS=Homo sapiens GN=MC5R PE=1 SV=3"
"evm.TU.Ap10.1322","Melanocortin receptor 5 OS=Mus musculus GN=Mc5r PE=2 SV=1"
"evm.TU.Ap10.1323",NA
"evm.TU.Ap10.1320",NA
"evm.TU.Ap10.1321","Melanocortin receptor 4 OS=Danio rerio GN=mc4r PE=1 SV=1"
"evm.TU.Ap10.1326","Melanocortin receptor 5 OS=Homo sapiens GN=MC5R PE=1 SV=3"
"evm.TU.Ap10.1327",NA
"evm.TU.Ap10.1324",NA
"evm.TU.Ap10.1325",NA
"evm.TU.Ap10.753","Transcription factor HES-4-A OS=Xenopus laevis GN=hes4-a PE=1 SV=2"
"evm.TU.Ap10.976",NA
"evm.TU.Ap10.751","D(5)-like dopamine receptor OS=Takifugu rubripes GN=dl PE=3 SV=1"
"evm.TU.Ap10.757",NA
"evm.TU.Ap10.755","Transcription factor HES-4-B OS=Xenopus laevis GN=hes4-b PE=1 SV=1"
"evm.TU.Ap10.970","Heat shock 70 kDa protein 12A OS=Mus musculus GN=Hspa12a PE=1 SV=1"
"evm.TU.Ap10.758","Conserved oligomeric Golgi complex subunit 5 OS=Mus musculus GN=Cog5 PE=1 SV=3"
"evm.TU.Ap10.1777","Probable glycoprotein hormone G-protein coupled receptor OS=Anthopleura elegantissima PE=2 SV=1"
"evm.TU.Ap10.1776",NA
"evm.TU.Ap10.1779","Protein btn-1 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=cln3 PE=3 SV=2"
"evm.TU.Ap10.1778",NA
"evm.TU.Ap10.165_evm.TU.Ap10.166","TNF receptor-associated factor 1 OS=Mus musculus GN=Traf1 PE=1 SV=2"
"evm.TU.Ap10.2051","VWFA and cache domain-containing protein 1 OS=Homo sapiens GN=CACHD1 PE=2 SV=2"
"evm.TU.Ap10.2050","Heat shock 70 kDa protein 12A OS=Mus musculus GN=Hspa12a PE=1 SV=1"
"evm.TU.Ap10.55","EEF1A lysine methyltransferase 2 OS=Danio rerio GN=eef1akmt2 PE=2 SV=1"
"evm.TU.Ap10.55.1.5f15dbac","EEF1A lysine methyltransferase 2 OS=Danio rerio GN=eef1akmt2 PE=2 SV=1"
"evm.TU.Ap10.54",NA
"evm.TU.Ap10.57",NA
"evm.TU.Ap10.56","Major facilitator superfamily domain-containing protein 3 OS=Rattus norvegicus GN=Mfsd3 PE=2 SV=1"
"evm.TU.Ap10.53","Krueppel-like factor 15 OS=Homo sapiens GN=KLF15 PE=1 SV=1"
"evm.TU.Ap10.52",NA
"evm.TU.Ap10.24",NA
"evm.TU.Ap10.1055_evm.TU.Ap10.1056",NA
"evm.TU.Ap10.1055_evm.TU.Ap10.1056.1.5f1688ac",NA
"evm.TU.Ap10.27","Kelch-like protein 21 OS=Danio rerio GN=klhl21 PE=2 SV=1"
"evm.TU.Ap10.2071",NA
"evm.TU.Ap10.2070",NA
"evm.TU.Ap10.2077","Collagen alpha-1(XI) chain OS=Homo sapiens GN=COL11A1 PE=1 SV=4"
"evm.TU.Ap10.2076","Trace amine-associated receptor 9 OS=Rattus norvegicus GN=Taar9 PE=3 SV=1"
"evm.TU.Ap10.2075",NA
"evm.TU.Ap10.2074",NA
"evm.TU.Ap10.1678","VWFA and cache domain-containing protein 1 OS=Homo sapiens GN=CACHD1 PE=2 SV=2"
"evm.TU.Ap10.1679","Olfactomedin-like protein 2A OS=Mus musculus GN=Olfml2a PE=1 SV=1"
"evm.TU.Ap10.1674","VWFA and cache domain-containing protein 1 OS=Homo sapiens GN=CACHD1 PE=2 SV=2"
"evm.TU.Ap10.1675","VWFA and cache domain-containing protein 1 OS=Mus musculus GN=Cachd1 PE=2 SV=1"
"evm.TU.Ap10.1676",NA
"evm.TU.Ap10.1677","VWFA and cache domain-containing protein 1 OS=Homo sapiens GN=CACHD1 PE=2 SV=2"
"evm.TU.Ap10.1670","Protein bark beetle OS=Drosophila melanogaster GN=bark PE=1 SV=1"
"evm.TU.Ap10.1671",NA
"evm.TU.Ap10.1672",NA
"evm.TU.Ap10.1673",NA
"evm.TU.Ap10.1230","Substance-K receptor OS=Mus musculus GN=Tacr2 PE=2 SV=1"
"evm.TU.Ap10.1231","Kappa-type opioid receptor OS=Mus musculus GN=Oprk1 PE=1 SV=1"
"evm.TU.Ap10.1238","Alpha-N-acetylgalactosamine-specific lectin OS=Patiria pectinifera PE=1 SV=1"
"evm.TU.Ap10.1239",NA
"evm.TU.Ap10.821",NA
"evm.TU.Ap10.725",NA
"evm.TU.Ap10.728",NA
"evm.TU.Ap10.729",NA
"evm.TU.Ap10.1018",NA
"evm.TU.Ap10.1019","Protein bark beetle OS=Drosophila melanogaster GN=bark PE=1 SV=1"
"evm.TU.Ap10.1014",NA
"evm.TU.Ap10.1015",NA
"evm.TU.Ap10.1016","UDP-galactose translocator OS=Mus musculus GN=Slc35a2 PE=1 SV=1"
"evm.TU.Ap10.1017",NA
"evm.TU.Ap10.1010","S-antigen protein OS=Plasmodium falciparum (isolate Wellcome) PE=4 SV=1"
"evm.TU.Ap10.1011","Protein unc-13 homolog C OS=Rattus norvegicus GN=Unc13c PE=1 SV=3"
"evm.TU.Ap10.1012","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap10.1013",NA
"evm.TU.Ap10.1829","Collagen alpha-2(V) chain OS=Mus musculus GN=Col5a2 PE=1 SV=1"
"evm.TU.Ap10.1828",NA
"evm.TU.Ap10.1825",NA
"evm.TU.Ap10.1824","Collagen alpha-2(V) chain OS=Mus musculus GN=Col5a2 PE=1 SV=1"
"evm.TU.Ap10.1827","Collagen alpha-2(I) chain OS=Gallus gallus GN=COL1A2 PE=1 SV=3"
"evm.TU.Ap10.1826","Collagen alpha-2(V) chain OS=Mus musculus GN=Col5a2 PE=1 SV=1"
"evm.TU.Ap10.1821","Collagen alpha-1(XI) chain OS=Homo sapiens GN=COL11A1 PE=1 SV=4"
"evm.TU.Ap10.1820",NA
"evm.TU.Ap10.1823","Collagen alpha-1(XI) chain OS=Homo sapiens GN=COL11A1 PE=1 SV=4"
"evm.TU.Ap10.1822","Collagen alpha-2(V) chain OS=Mus musculus GN=Col5a2 PE=1 SV=1"
"evm.TU.Ap10.863","Substance-P receptor OS=Lithobates catesbeiana GN=TACR1 PE=2 SV=1"
"evm.TU.Ap10.862",NA
"evm.TU.Ap10.869","Cubilin OS=Canis lupus familiaris GN=CUBN PE=1 SV=1"
"evm.TU.Ap10.868",NA
"evm.TU.Ap10.555","Melanocyte-stimulating hormone receptor OS=Trachypithecus cristatus GN=MC1R PE=3 SV=1"
"evm.TU.Ap10.554",NA
"evm.TU.Ap10.557","Adenosine receptor A3 OS=Bos taurus GN=ADORA3 PE=2 SV=1"
"evm.TU.Ap10.556","Melanocortin receptor 5 OS=Rattus norvegicus GN=Mc5r PE=2 SV=1"
"evm.TU.Ap10.551",NA
"evm.TU.Ap10.550","Adenosine receptor A1 OS=Gallus gallus GN=ADORA1 PE=2 SV=1"
"evm.TU.Ap10.553",NA
"evm.TU.Ap10.552","Beta-2 adrenergic receptor OS=Sus scrofa GN=ADRB2 PE=2 SV=2"
"evm.TU.Ap10.559","Adenosine receptor A3 OS=Homo sapiens GN=ADORA3 PE=1 SV=1"
"evm.TU.Ap10.558","Adenosine receptor A2a OS=Mus musculus GN=Adora2a PE=2 SV=3"
"evm.TU.Ap10.109",NA
"evm.TU.Ap10.1517",NA
"evm.TU.Ap10.1513",NA
"evm.TU.Ap10.1512","Melanocortin receptor 5 OS=Bos taurus GN=MC5R PE=3 SV=1"
"evm.TU.Ap10.948",NA
"evm.TU.Ap10.949",NA
"evm.TU.Ap10.946","Retrovirus-related Pol polyprotein from transposon 412 OS=Drosophila melanogaster GN=POL PE=3 SV=1"
"evm.TU.Ap10.947","Reticulocyte-binding protein 2 homolog a OS=Plasmodium falciparum (isolate 3D7) GN=PF13_0198 PE=1 SV=1"
"evm.TU.Ap10.944",NA
"evm.TU.Ap10.945","Heat shock 70 kDa protein 12A OS=Mus musculus GN=Hspa12a PE=1 SV=1"
"evm.TU.Ap10.942",NA
"evm.TU.Ap10.943",NA
"evm.TU.Ap10.940",NA
"evm.TU.Ap10.941","Heat shock 70 kDa protein 12A OS=Mus musculus GN=Hspa12a PE=1 SV=1"
"evm.TU.Ap10.104","Kelch-like protein 17 OS=Mus musculus GN=Klhl17 PE=1 SV=1"
"evm.TU.Ap10.105","Ultraviolet-B receptor UVR8 OS=Arabidopsis thaliana GN=UVR8 PE=1 SV=1"
"evm.TU.Ap10.1209","Dynein light chain roadblock-type 1 OS=Homo sapiens GN=DYNLRB1 PE=1 SV=3"
"evm.TU.Ap10.1208","Orexin receptor type 2 OS=Rattus norvegicus GN=Hcrtr2 PE=2 SV=1"
"evm.TU.Ap10.1205","Tripartite motif-containing protein 2 OS=Bos taurus GN=TRIM2 PE=2 SV=1"
"evm.TU.Ap10.1204","Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1"
"evm.TU.Ap10.1207","Calcium/calmodulin-dependent protein kinase type 1D OS=Mus musculus GN=Camk1d PE=1 SV=2"
"evm.TU.Ap10.1206",NA
"evm.TU.Ap10.1201",NA
"evm.TU.Ap10.1200","Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1"
"evm.TU.Ap10.1203","Visual pigment-like receptor peropsin OS=Mus musculus GN=Rrh PE=1 SV=1"
"evm.TU.Ap10.1202","Collagen-like protein 2 OS=Acanthamoeba polyphaga mimivirus GN=MIMI_R196 PE=4 SV=1"
"evm.TU.Ap10.741","Coadhesin (Fragment) OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap10.746",NA
"evm.TU.Ap10.747",NA
"evm.TU.Ap10.1788",NA
"evm.TU.Ap10.1789","Monoacylglycerol lipase ABHD2 OS=Mus musculus GN=Abhd2 PE=1 SV=1"
"evm.TU.Ap10.1780","Pro-Pol polyprotein OS=Simian foamy virus type 3 (strain LK3) GN=pol PE=3 SV=2"
"evm.TU.Ap10.1781","Protein btn-1 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=cln3 PE=3 SV=2"
"evm.TU.Ap10.1782","Protein btn-1 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=cln3 PE=3 SV=2"
"evm.TU.Ap10.1783","Ceramide kinase OS=Homo sapiens GN=CERK PE=1 SV=1"
"evm.TU.Ap10.1784","Cyclin-dependent kinase 17 OS=Homo sapiens GN=CDK17 PE=1 SV=2"
"evm.TU.Ap10.1785",NA
"evm.TU.Ap10.1786","Beta-1,3-galactosyltransferase 1 OS=Mus musculus GN=B3galt1 PE=1 SV=2"
"evm.TU.Ap10.1787","Beta-1,3-galactosyltransferase 1 OS=Mus musculus GN=B3galt1 PE=1 SV=2"
"evm.TU.Ap10.724",NA
"evm.TU.Ap10.896","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap10.897","3-hydroxybutyrate dehydrogenase type 2 OS=Lithobates catesbeiana GN=bdh2 PE=2 SV=1"
"evm.TU.Ap10.1438","Beta-1 adrenergic receptor OS=Xenopus laevis GN=adrb1 PE=2 SV=1"
"evm.TU.Ap10.1439","Octopamine receptor beta-2R OS=Chilo suppressalis GN=OA2B2 PE=2 SV=1"
"evm.TU.Ap10.1436","5-hydroxytryptamine receptor 1B OS=Pan troglodytes GN=HTR1B PE=3 SV=1"
"evm.TU.Ap10.1437","Melanocyte-stimulating hormone receptor OS=Chaetodipus baileyi GN=MC1R PE=3 SV=1"
"evm.TU.Ap10.1434","Melanocortin receptor 5 OS=Mus musculus GN=Mc5r PE=2 SV=1"
"evm.TU.Ap10.1435","Melanocortin receptor 5 OS=Homo sapiens GN=MC5R PE=1 SV=3"
"evm.TU.Ap10.1432","Trace amine-associated receptor 9 OS=Rattus norvegicus GN=Taar9 PE=3 SV=1"
"evm.TU.Ap10.1433","Alpha-1A adrenergic receptor OS=Rattus norvegicus GN=Adra1a PE=2 SV=1"
"evm.TU.Ap10.1430","Trace amine-associated receptor 9 OS=Rattus norvegicus GN=Taar9 PE=3 SV=1"
"evm.TU.Ap10.1431","Melanocortin receptor 5 OS=Bos taurus GN=MC5R PE=3 SV=1"
"evm.TU.Ap10.245","Beta-2 adrenergic receptor OS=Rattus norvegicus GN=Adrb2 PE=1 SV=1"
"evm.TU.Ap10.244","Coadhesin (Fragment) OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap10.247","Beta-2 adrenergic receptor OS=Oncorhynchus mykiss GN=adrb2 PE=2 SV=1"
"evm.TU.Ap10.246","Beta-2 adrenergic receptor OS=Canis lupus familiaris GN=ADRB2 PE=2 SV=1"
"evm.TU.Ap10.241",NA
"evm.TU.Ap10.240",NA
"evm.TU.Ap10.243","Fibronectin type III domain-containing protein OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap10.242","TNF receptor-associated factor 6 OS=Bos taurus GN=TRAF6 PE=2 SV=1"
"evm.TU.Ap10.249","Deleted in malignant brain tumors 1 protein OS=Mus musculus GN=Dmbt1 PE=1 SV=2"
"evm.TU.Ap10.248","Beta-2 adrenergic receptor OS=Macaca mulatta GN=ADRB2 PE=2 SV=1"
"evm.TU.Ap10.1535","Trace amine-associated receptor 9 OS=Rattus norvegicus GN=Taar9 PE=3 SV=1"
"evm.TU.Ap10.1534","Trace amine-associated receptor 9 OS=Rattus norvegicus GN=Taar9 PE=3 SV=1"
"evm.TU.Ap10.1533",NA
"evm.TU.Ap10.1532","Melanocyte-stimulating hormone receptor OS=Chaetodipus baileyi GN=MC1R PE=3 SV=1"
"evm.TU.Ap10.1531","Adenosine receptor A2b OS=Oryctolagus cuniculus GN=ADORA2B PE=2 SV=1"
"evm.TU.Ap10.1530",NA
"evm.TU.Ap10.1851","Protein translation factor SUI1 homolog OS=Sulfolobus tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) GN=STK_03500 PE=3 SV=1"
"evm.TU.Ap10.1112","CUB and peptidase domain-containing protein 2 (Fragment) OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap10.2008",NA
"evm.TU.Ap10.2009",NA
"evm.TU.Ap10.2002","Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4"
"evm.TU.Ap10.2003",NA
"evm.TU.Ap10.1116",NA
"evm.TU.Ap10.1285","Adenosine receptor A3 OS=Ovis aries GN=ADORA3 PE=2 SV=1"
"evm.TU.Ap10.1284",NA
"evm.TU.Ap10.1287",NA
"evm.TU.Ap10.1286",NA
"evm.TU.Ap10.1281","Trace amine-associated receptor 9 OS=Rattus norvegicus GN=Taar9 PE=3 SV=1"
"evm.TU.Ap10.1280","Adenosine receptor A3 OS=Ovis aries GN=ADORA3 PE=2 SV=1"
"evm.TU.Ap10.1283",NA
"evm.TU.Ap10.1282","Melanocyte-stimulating hormone receptor OS=Semnopithecus entellus GN=MC1R PE=3 SV=1"
"evm.TU.Ap10.1289",NA
"evm.TU.Ap10.1288",NA
"evm.TU.Ap10.1700",NA
"evm.TU.Ap10.1701","Low-density lipoprotein receptor-related protein 6 OS=Mus musculus GN=Lrp6 PE=1 SV=1"
"evm.TU.Ap10.1702","P-selectin OS=Homo sapiens GN=SELP PE=1 SV=3"
"evm.TU.Ap10.1703","Low-density lipoprotein receptor-related protein 8 OS=Homo sapiens GN=LRP8 PE=1 SV=4"
"evm.TU.Ap10.1704","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap10.1705","Low-density lipoprotein receptor-related protein 6 OS=Homo sapiens GN=LRP6 PE=1 SV=2"
"evm.TU.Ap10.1706",NA
"evm.TU.Ap10.1707","Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens GN=LRP2 PE=1 SV=3"
"evm.TU.Ap10.1708","Low-density lipoprotein receptor-related protein 1 OS=Gallus gallus GN=LRP1 PE=2 SV=1"
"evm.TU.Ap10.1709","Low-density lipoprotein receptor-related protein 5 OS=Homo sapiens GN=LRP5 PE=1 SV=2"
"evm.TU.Ap10.612",NA
"evm.TU.Ap10.613",NA
"evm.TU.Ap10.610","Carboxypeptidase A4 OS=Homo sapiens GN=CPA4 PE=1 SV=2"
"evm.TU.Ap10.611","Carboxypeptidase B2 OS=Bos taurus GN=CPB2 PE=1 SV=1"
"evm.TU.Ap10.616","Nuclease OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) GN=nucA PE=1 SV=1"
"evm.TU.Ap10.614",NA
"evm.TU.Ap10.615","Carboxypeptidase B OS=Homo sapiens GN=CPB1 PE=1 SV=4"
"evm.TU.Ap10.618","Endonuclease domain-containing 1 protein OS=Homo sapiens GN=ENDOD1 PE=1 SV=2"
"evm.TU.Ap10.2100","Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1"
"evm.TU.Ap10.1120",NA
"evm.TU.Ap10.1121",NA
"evm.TU.Ap10.1122","Transposon Tf2-3 polyprotein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=Tf2-3 PE=1 SV=1"
"evm.TU.Ap10.1123",NA
"evm.TU.Ap10.1124","ER degradation-enhancing alpha-mannosidase-like protein 1 OS=Homo sapiens GN=EDEM1 PE=1 SV=1"
"evm.TU.Ap10.1125",NA
"evm.TU.Ap10.1126",NA
"evm.TU.Ap10.1127",NA
"evm.TU.Ap10.1128","Tachykinin-like peptides receptor 86C OS=Drosophila melanogaster GN=TkR86C PE=2 SV=2"
"evm.TU.Ap10.1129",NA
"evm.TU.Ap10.1985",NA
"evm.TU.Ap10.1911",NA
"evm.TU.Ap10.1910","Glutamine--tRNA ligase OS=Homo sapiens GN=QARS PE=1 SV=1"
"evm.TU.Ap10.1913",NA
"evm.TU.Ap10.1912",NA
"evm.TU.Ap10.1915",NA
"evm.TU.Ap10.1914",NA
"evm.TU.Ap10.1917",NA
"evm.TU.Ap10.1916","Serine/threonine-protein kinase pim-2 OS=Mus musculus GN=Pim2 PE=1 SV=1"
"evm.TU.Ap10.1919","Proton myo-inositol cotransporter OS=Mus musculus GN=Slc2a13 PE=1 SV=2"
"evm.TU.Ap10.1918","Mucin-19 OS=Homo sapiens GN=MUC19 PE=1 SV=3"
"evm.TU.Ap10.344","Ras-related protein Rab-7L1 OS=Mus musculus GN=Rab29 PE=1 SV=1"
"evm.TU.Ap10.797","Unconventional myosin-If OS=Homo sapiens GN=MYO1F PE=1 SV=3"
"evm.TU.Ap10.796","Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2"
"evm.TU.Ap10.795",NA
"evm.TU.Ap10.794","Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Mus musculus GN=Tspear PE=1 SV=1"
"evm.TU.Ap10.793","WD repeat-containing protein 49 OS=Homo sapiens GN=WDR49 PE=2 SV=1"
"evm.TU.Ap10.792","Small integral membrane protein 4 OS=Mus musculus GN=Smim4 PE=1 SV=2"
"evm.TU.Ap10.791","G/T mismatch-specific thymine DNA glycosylase OS=Homo sapiens GN=TDG PE=1 SV=2"
"evm.TU.Ap10.790","Sulfotransferase family cytosolic 1B member 1 OS=Mus musculus GN=Sult1b1 PE=1 SV=2"
"evm.TU.Ap10.799","Coagulation factor VIII OS=Homo sapiens GN=F8 PE=1 SV=1"
"evm.TU.Ap10.798",NA
"evm.TU.Ap10.421",NA
"evm.TU.Ap10.420",NA
"evm.TU.Ap10.423",NA
"evm.TU.Ap10.422",NA
"evm.TU.Ap10.425",NA
"evm.TU.Ap10.424",NA
"evm.TU.Ap10.427",NA
"evm.TU.Ap10.426",NA
"evm.TU.Ap10.429","Transposable element P transposase OS=Drosophila melanogaster GN=T PE=1 SV=2"
"evm.TU.Ap10.428",NA
"evm.TU.Ap10.819","Putative L-amino-acid oxidase YobN OS=Bacillus subtilis (strain 168) GN=yobN PE=3 SV=3"
"evm.TU.Ap10.913",NA
"evm.TU.Ap10.932",NA
